"id","title","year","age","imdb","rotten_tomatoes","type"
5126,"Gringo",2018,"18+",null,"65/100",0
5127,"Jay and Silent Bob Reboot",2019,"18+",null,"65/100",0
5128,"Evil Eye",2020,null,null,"65/100",0
5129,"Kabali",2016,"18+",null,"65/100",0
5130,"Brad's Status",2017,"18+",null,"65/100",0
5131,"Radioactive",2020,"13+",null,"65/100",0
5132,"I'm Your Woman",2020,"18+",null,"65/100",0
5134,"Starbuck",2011,"18+",null,"65/100",0
5135,"T-34",2018,"16+",null,"65/100",0
5139,"Virus",2019,null,null,"65/100",0
5140,"The Most Dangerous Game",1932,"13+",null,"65/100",0
5142,"Come to Daddy",2020,"18+",null,"65/100",0
5143,"Ta Ra Rum Pum",2007,"all",null,"65/100",0
5144,"Children of a Lesser God",1986,"18+",null,"65/100",0
5124,"Night Hunter",2019,"18+",null,"65/100",0
5146,"The Woman",2011,"18+",null,"65/100",0
5122,"Wonder Wheel",2017,"13+",null,"65/100",0
5120,"George Carlin: You Are All Diseased",1999,"18+",null,"65/100",0
5098,"The Joneses",2010,"18+",null,"65/100",0
5099,"Light of My Life",2019,"18+",null,"65/100",0
5100,"The Little Girl Who Lives Down the Lane",1976,"7+",null,"65/100",0
5101,"Dragonslayer",1981,"7+",null,"65/100",0
5103,"Fanaa",2006,"7+",null,"65/100",0
5105,"Hum Tum",2004,"7+",null,"65/100",0
5108,"Ramona and Beezus",2010,"all",null,"65/100",0
5110,"Monsieur Lazhar",2011,"13+",null,"65/100",0
5111,"Hell House LLC",2015,"18+",null,"65/100",0
5112,"Nightjohn",1996,"13+",null,"65/100",0
5113,"Arjun Reddy",2017,"18+",null,"65/100",0
5114,"Pass Over",2018,null,null,"65/100",0
5116,"6 Days",2017,"18+",null,"65/100",0
5117,"Valley Uprising",2014,null,null,"65/100",0
5119,"Seberg",2019,"18+",null,"65/100",0
5121,"Hindi Medium",2017,null,null,"65/100",0
4795,"High Noon",1952,"7+",null,"75/100",0
4792,"Charade",1963,"13+",null,"75/100",0
4463,"Beneath the Darkness",2012,"18+",null,"52/100",0
4443,"It Had to Be You",2016,"18+",null,"53/100",0
4526,"Bayou Caviar",2018,"18+",null,"49/100",0
4529,"10.0 Earthquake",2014,"7+",null,"49/100",0
4541,"Cherry Pop",2017,null,null,"49/100",0
4518,"Attack of the 50 Foot Cheerleader",2012,"18+",null,"50/100",0
4517,"Good Kisser",2019,null,null,"50/100",0
4493,"Ms. Purple",2019,null,null,"51/100",0
4495,"Red Dog",2019,"18+",null,"51/100",0
4507,"Euphoria",2018,"18+",null,"50/100",0
4508,"Tru Love",2013,null,null,"50/100",0
4374,"Sheep & Wolves",2016,"all",null,"55/100",0
4349,"Just Charlie",2017,null,null,"56/100",0
4339,"Sex Ed",2014,null,null,"56/100",0
4341,"Getaway",2013,"13+",null,"56/100",0
4412,"Pit Stop",2013,null,null,"54/100",0
4385,"Star Kid",1997,"7+",null,"55/100",0
4793,"7500",2019,"18+",null,"75/100",0
4705,"Tumbbad",2018,null,null,"93/100",0
4706,"Gully Boy",2019,null,null,"91/100",0
4708,"Honey Boy",2019,"18+",null,"89/100",0
4709,"The Report",2019,"18+",null,"89/100",0
4711,"Borat Subsequent Moviefilm",2020,"18+",null,"88/100",0
4712,"Raazi",2018,null,null,"88/100",0
4673,"Catching Faith",2015,null,null,"41/100",0
4713,"Snatch",2000,"18+",null,"87/100",0
4714,"Beautiful Boy",2018,"18+",null,"87/100",0
4715,"One Night in Miami...",2021,"18+",null,"86/100",0
4717,"Knives Out",2019,"13+",null,"85/100",0
4755,"The Big Sick",2017,"18+",null,"79/100",0
4762,"Sylvie's Love",2020,"13+",null,"78/100",0
4763,"Perfume: The Story of a Murderer",2006,"18+",null,"78/100",0
4764,"Hellboy",2004,"13+",null,"78/100",0
4766,"The Descent",2006,"18+",null,"78/100",0
4769,"""Love, Rosie""",2014,"18+",null,"77/100",0
4772,"Roman Holiday",1953,"all",null,"77/100",0
4776,"The Boys of St. Vincent",1992,null,null,"77/100",0
4777,"Inside Llewyn Davis",2013,"18+",null,"77/100",0
4779,"My Spy",2020,"13+",null,"76/100",0
4782,"Dilwale Dulhania Le Jayenge",1995,"all",null,"76/100",0
4786,"Crimson Tide",1995,"18+",null,"76/100",0
4787,"Highlander",1986,"18+",null,"76/100",0
4789,"The Farewell",2019,"7+",null,"76/100",0
4791,"Trilogy of Terror",1975,null,null,"76/100",0
4753,"Rab Ne Bana Di Jodi",2008,"7+",null,"79/100",0
4750,"Philadelphia",1993,"13+",null,"79/100",0
4748,"The Elephant Man",1980,"7+",null,"80/100",0
4720,"Invisible Life",2019,"18+",null,"85/100",0
4722,"One Child Nation",2019,"18+",null,"84/100",0
4724,"Late Night",2019,"18+",null,"84/100",0
4726,"Sultan",2016,null,null,"83/100",0
4732,"Thappad",2020,null,null,"82/100",0
4734,"Titli",2015,null,null,"81/100",0
4735,"The Handmaiden",2016,"18+",null,"81/100",0
4736,"Dodsworth",1936,null,null,"81/100",0
4738,"The Tomorrow War",2021,"13+",null,"81/100",0
4739,"Manchester by the Sea",2016,"18+",null,"81/100",0
4740,"Sunset Boulevard",1950,"7+",null,"81/100",0
4742,"Fan",2016,null,null,"80/100",0
4745,"Midsommar",2019,"18+",null,"80/100",0
4746,"Sound of Metal",2020,"18+",null,"80/100",0
4747,"The Lighthouse",2019,"18+",null,"80/100",0
4749,"Tropic Thunder",2008,"18+",null,"80/100",0
4659,"Christmas Crush",2019,null,null,"42/100",0
4599,"The Warrior Queen of Jhansi",2019,"18+",null,"46/100",0
4574,"Across the Line",2016,null,null,"47/100",0
4643,"D.L. Hughley: Reset",2012,"18+",null,"43/100",0
4646,"12 Pups of Christmas",2019,"7+",null,"43/100",0
4655,"Next Level",2019,null,null,"43/100",0
4631,"The Archer",2017,null,null,"44/100",0
2452,"Pants on Fire",2014,null,null,"48/100",0
2364,"Maska",2020,null,null,"49/100",0
2334,"Lionheart",2018,null,null,"49/100",0
2349,"Redemption",2019,null,null,"49/100",0
2412,"Hero",1997,"18+",null,"48/100",0
2076,"Whitney Cummings: Money Shot",2010,"18+",null,"51/100",0
2094,"The Blazing Sun",1954,null,null,"51/100",0
2235,"House Arrest",2019,null,null,"50/100",0
2244,"Back of the Net",2019,null,null,"50/100",0
2247,"Paradise Lost",2018,null,null,"50/100",0
2171,"For the Birds",2018,null,null,"50/100",0
2173,"Door Ke Darshan",2020,null,null,"50/100",0
2169,"Break",2018,null,null,"50/100",0
2203,"Children of God",1994,null,null,"50/100",0
5265,"Wishmaster",1997,"18+",null,"63/100",0
3233,"Skin",2019,null,null,"40/100",0
3282,"Hope Ranch",2020,"all",null,"39/100",0
3101,"Happy Go Lucky",2014,null,null,"41/100",0
3180,"Joker",2012,null,null,"40/100",0
3390,"Anchor Baby",2010,null,null,"38/100",0
2876,"First Love",2018,null,null,"44/100",0
2708,"Casino Tycoon",1992,null,null,"45/100",0
3007,"Albert Pinto Ko Gussa Kyun Aata Hai?",2019,null,null,"42/100",0
3048,"Gina Yashere: Skinny B*tch",2008,null,null,"42/100",0
2917,"Pandigai",2017,null,null,"43/100",0
2897,"D.L. Hughley: Clear",2014,null,null,"43/100",0
5267,"Mardaani",2014,"13+",null,"63/100",0
5269,"Split Second",1992,"18+",null,"63/100",0
8096,"Centipede",2004,"18+",null,"39/100",0
8097,"A Haunting on Hamilton Street",2010,null,null,"39/100",0
8101,"Angel in Training",1999,"all",null,"39/100",0
