ID,Metric,Value
Taylor SwiftI Forgot That You Existed,Danceability,0.664
"Bruno Mars, David GuettaVersace on the Floor (Bruno Mars vs. David Guetta)",Danceability,0.747
Swing Out SisterBreakout,Danceability,0.704
KygoFirestone,Danceability,0.704
Wynter GordonTil Death - Denzal Park Radio Edit,Danceability,0.696
Various ArtistsThe Time Warp,Danceability,0.368
Michael JacksonScream,Danceability,0.805
TaxirideAFTERGLOW,Danceability,0.35
"Peter\, Paul and MaryI Dig Rock and Roll Music - 2004 Remaster",Danceability,0.692
Maroon 5Makes Me Wonder,Danceability,0.803
Imagine DragonsThunder,Danceability,0.605
Selena GomezSame Old Love,Danceability,0.672
Britney Spears(You Drive Me) Crazy,Danceability,0.748
Daniel PowterFree Loop,Danceability,0.6
John FarnhamTwo Strong Hearts,Danceability,0.61
Nick JonasLevels,Danceability,0.429
Whitney HoustonWhen You Believe - from The Prince of Egypt,Danceability,0.43
Melanie CNever Be The Same Again - Single Mix,Danceability,0.739
Kelly RowlandStole,Danceability,0.649
The ScriptBefore the Worst,Danceability,0.586
"Nat King ColeThat Sunday, That Summer",Danceability,0.249
PowderfingerBurn Your Name,Danceability,0.423
MýaWelcome To My World,Danceability,0.374
ZAYNfOoL fOr YoU,Danceability,0.52
Peter And GordonLady Godiva - Mono; 2003 Remaster,Danceability,0.607
Major LazerLean On (feat. MØ & DJ Snake),Danceability,0.723
The FrayYou Found Me,Danceability,0.366
Stevie WonderHigher Ground,Danceability,0.716
EternalI Wanna Be the Only One (feat. Bebe Winans),Danceability,0.627
Jerry HarrisonRev It Up,Danceability,0.723
Jackie WilsonDoggin' Around,Danceability,0.568
Dua LipaNew Rules,Danceability,0.762
Elvis PresleyIt's Now or Never,Danceability,0.631
Martin SolveigBoys & Girls,Danceability,0.789
Miley CyrusFlowers,Danceability,0.707
RÜFÜS DU SOLTake Me,Danceability,0.719
Miley CyrusWe Can't Stop,Danceability,0.613
Lil Nas XTHATS WHAT I WANT,Danceability,0.737
Various ArtistsHurricane - Radio Edit,Danceability,0.452
One DirectionMidnight Memories,Danceability,0.432
B.J. ThomasMama,Danceability,0.524
Jimmy BarnesWhen Something Is Wrong With My Baby,Danceability,0.409
Travis ScottHIGHEST IN THE ROOM,Danceability,0.598
KeshaTiK ToK,Danceability,0.755
Charlie PuthSome Type of Love,Danceability,0.706
The Mamas & The PapasCalifornia Dreamin' - Single Version,Danceability,0.552
Craig McLachlan;Check 1-2Mona,Danceability,0.697
Edgar WinterFree Ride,Danceability,0.674
Jasmine ThompsonStay with Me,Danceability,0.404
PowderfingerAlready Gone,Danceability,0.329
Chaka Demus & PliersTwist And Shout,Danceability,0.802
Havana BrownFlashing Lights,Danceability,0.706
A1Caught in the Middle,Danceability,0.519
Johnny CashFolsom Prison Blues,Danceability,0.594
Elton JohnDon't Go Breaking My Heart,Danceability,0.729
Pet Shop BoysAlways on My Mind,Danceability,0.533
Ricky MartinShake Your Bon-Bon,Danceability,0.638
John WilliamsonTrue Blue,Danceability,0.534
Boom Crash OperaOnionskin,Danceability,0.516
MelanieBrand New Key,Danceability,0.667
The Belle StarsThe Clapping Song,Danceability,0.866
Calvin HarrisReady for the Weekend,Danceability,0.818
Michael JacksonHeal the World,Danceability,0.545
Dean LewisHow Do I Say Goodbye,Danceability,0.4
UsherYeah!,Danceability,0.895
ColdplaySpeed of Sound,Danceability,0.514
Taylor SwiftWelcome To New York,Danceability,0.789
StarshipWe Built This City,Danceability,0.649
The 1975If You're Too Shy (Let Me Know) [Edit],Danceability,0.653
Edgar WinterFree Ride,Danceability,0.674
Kylie Minogue2 Hearts,Danceability,0.667
Frankie Valli & The Four SeasonsMy Eyes Adored You,Danceability,0.446
SherbetChild's Play,Danceability,0.608
Anita BryantIn My Little Corner Of The World,Danceability,0.483
"The 5th DimensionUp, Up and Away",Danceability,0.393
Mike + The MechanicsThe Living Years,Danceability,0.527
ABBASOS,Danceability,0.415
En VogueFree Your Mind,Danceability,0.765
The PresetsTalk Like That,Danceability,0.573
Tom Petty and the HeartbreakersI Won't Back Down,Danceability,0.767
"All Time Low, Demi Lovato, blackbearMonsters (feat. Demi Lovato and blackbear)",Danceability,0.502
Bowling For Soup1985,Danceability,0.607
will.i.am#thatPOWER,Danceability,0.797
The CureFriday I'm In Love,Danceability,0.553
Various ArtistsEverybody On The Floor (Pump It) - Radio Edit,Danceability,0.745
The BrownsThe Old Lamplighter,Danceability,0.604
Matchbox TwentyBack 2 Good,Danceability,0.559
Stan WalkerBlack Box,Danceability,0.689
Peter FramptonI'm In You,Danceability,0.33
Alec BenjaminLet Me Down Slowly,Danceability,0.652
Michael BubléSomeday (feat. Meghan Trainor),Danceability,0.671
Judy CollinsSend in the Clowns,Danceability,0.223
Jamie FoxxIn Love By Now,Danceability,0.645
TimomaticIncredible,Danceability,0.666
"Anne-Marie, Niall Horan, Luca SchreinerOur Song - Luca Schreiner Remix",Danceability,0.43
The ShadowsGeronimo,Danceability,0.5
Alanis MorissetteHead over Feet - 2015 Remaster,Danceability,0.482
Bruno MarsJust the Way You Are,Danceability,0.635
Calvin HarrisFeel So Close - Radio Edit,Danceability,0.707
Normie RoweIt Ain't Necessarily So - 2015 Remaster,Danceability,0.52
Faron YoungIt's Four in the Morning,Danceability,0.462
Joan Jett & the BlackheartsI Love Rock 'N Roll,Danceability,0.535
Mental As AnythingYou're So Strong,Danceability,0.633
Bon JoviI'll Be There For You,Danceability,0.429
Jessica MauboySomething's Got A Hold On Me,Danceability,0.594
"DHT, EdmeeListen to Your Heart (feat. Edmée) - Furious F. Radio Edit",Danceability,0.564
Do Re MiMan Overboard,Danceability,0.581
Kate Miller-HeidkeCaught In The Crowd,Danceability,0.611
"Bonnie TylerHolding Out for a Hero - From ""Footloose"" Soundtrack",Danceability,0.612
Canned HeatGoing Up The Country,Danceability,0.653
Alicia KeysGirl On Fire (feat. Nicki Minaj) - Inferno Version,Danceability,0.591
Bon JoviAlways,Danceability,0.377
Phillip PhillipsHome,Danceability,0.606
The Righteous BrothersUnchained Melody,Danceability,0.376
Natalie BassingthwaighteAlive,Danceability,0.506
Rocky BurnetteTired of Toein' the Line,Danceability,0.647
"Eurythmics, Annie Lennox, Dave StewartWhen Tomorrow Comes - Remastered Version",Danceability,0.421
Tears For FearsEverybody Wants To Rule The World,Danceability,0.637
Boyz II MenI’ll Make Love To You,Danceability,0.463
ErasureOh L'Amour - 2011 Remaster,Danceability,0.646
Foo FightersWalk,Danceability,0.234
Wynter GordonDirty Talk,Danceability,0.679
David GuettaTurn Me On (feat. Nicki Minaj),Danceability,0.704
P!nkNever Gonna Not Dance Again,Danceability,0.668
Peter AllenI Go To Rio,Danceability,0.593
Imagine DragonsThunder,Danceability,0.605
Avril LavigneComplicated,Danceability,0.585
HERBIERight Type of Mood,Danceability,0.698
House Of PainJump Around,Danceability,0.854
The GalvatronsWhen We Were Kids,Danceability,0.45
"Bebe Rexha, Doja CatBaby, I'm Jealous (feat. Doja Cat)",Danceability,0.737
Stone Temple PilotsInterstate Love Song,Danceability,0.214
SheppardWe Belong,Danceability,0.798
Imagine DragonsBeliever,Danceability,0.779
ICEHOUSEWalls,Danceability,0.632
WingerSeventeen,Danceability,0.577
Los Del RioMacarena - Bayside Boys Remix,Danceability,0.737
Various ArtistsJean,Danceability,0.323
Major LazerLean On (feat. MØ & DJ Snake),Danceability,0.723
KornWord Up!,Danceability,0.577
EveLet Me Blow Ya Mind,Danceability,0.908
BastilleFlaws,Danceability,0.555
Ella HendersonGhost,Danceability,0.682
Gale GarnettWe'll Sing in the Sunshine,Danceability,0.536
Marcy PlaygroundSex & Candy,Danceability,0.67
Simple PlanPerfect,Danceability,0.494
Eddie MoneyTwo Tickets to Paradise (2022 Remaster),Danceability,0.623
Roddy RicchThe Box,Danceability,0.896
Various ArtistsCinnamon,Danceability,0.604
Elton JohnTiny Dancer,Danceability,0.423
Flo RidaHello Friday (feat. Jason Derulo),Danceability,0.768
PSYGangnam Style (?????),Danceability,0.727
"Clean Bandit, iann diorHigher (feat. iann dior)",Danceability,0.716
NellyDilemma,Danceability,0.727
Caramel BlueCity Low,Danceability,0.538
DarudeSandstorm,Danceability,0.528
Yusuf / Cat Stevens(Remember The Days Of The) Old Schoolyard,Danceability,0.652
Colleen HewettDreaming My Dreams with You,Danceability,0.254
Petula ClarkDowntown,Danceability,0.48
The TemptationsGet Ready,Danceability,0.59
Charli XCXFamous,Danceability,0.437
Right Said FredI'm Too Sexy,Danceability,0.683
Inner CircleBad Boys (Theme from COPS),Danceability,0.781
RihannaHate That I Love You,Danceability,0.641
Billy JoelMy Life,Danceability,0.741
Brian CaddLet Go,Danceability,0.55
MadonnaGive It 2 Me,Danceability,0.837
Ellie GouldingStarry Eyed,Danceability,0.501
Killing HeidiLive Without It,Danceability,0.438
Gin BlossomsHey Jealousy,Danceability,0.471
Simon & GarfunkelScarborough Fair / Canticle,Danceability,0.356
BrosWhen Will I Be Famous?,Danceability,0.632
Alice CooperDepartment of Youth,Danceability,0.533
Colin HayOverkill - Acoustic Version,Danceability,0.725
Foo FightersThis Is a Call,Danceability,0.261
Bon JoviIt's My Life,Danceability,0.546
Selena GomezKill Em With Kindness,Danceability,0.757
Harry StylesSign of the Times,Danceability,0.518
Vance JoyWe're Going Home,Danceability,0.589
BeyoncéSweet Dreams,Danceability,0.693
Justin BieberSorry,Danceability,0.654
Taylor SwiftYou Need To Calm Down,Danceability,0.771
CoolioC U When U Get There (feat. 40 thevz),Danceability,0.76
The ZombiesShe's Not There,Danceability,0.482
Culture ClubChurch Of The Poison Mind - Remastered 2002,Danceability,0.597
Olivia Newton-JohnIf Not for You,Danceability,0.611
The RubensHoops,Danceability,0.731
Ray Parker Jr.Ghostbusters,Danceability,0.778
Betty WhoI Love You Always Forever,Danceability,0.747
LiveLightning Crashes,Danceability,0.385
Eric CarmenMake Me Lose Control,Danceability,0.724
FabolousCan't Let You Go (feat. Mike Shorey & Lil' Mo),Danceability,0.646
SilentóWatch Me (Whip / Nae Nae),Danceability,0.819
The KLFJustified & Ancient,Danceability,0.628
NickelbackNever Again,Danceability,0.592
No MercyWhen I Die,Danceability,0.702
Jimmy BarnesWhen A Man Loves A Woman - Live,Danceability,0.128
"Lauv, Conan GrayFake",Danceability,0.709
EminemBusiness,Danceability,0.905
TravisCloser,Danceability,0.538
Billy IdolEyes Without A Face,Danceability,0.372
Jonas BrothersSucker,Danceability,0.842
Busta RhymesI Know What You Want (feat. Flipmode Squad),Danceability,0.648
Lindsay LohanRumors - Main,Danceability,0.883
Qwote feat. Pitbull & LucenzoThrow Your Hands Up (Dancar Kuduro) (Original Radio Edit),Danceability,0.595
RihannaRude Boy,Danceability,0.563
"Destiny's ChildIndependent Women, Pt. 1",Danceability,0.73
Julia MichaelsAll Your Exes,Danceability,0.528
Maroon 5Daylight,Danceability,0.655
Frank SinatraFly Me To The Moon,Danceability,0.67
Tiki TaaneAlways on My Mind,Danceability,0.929
Noah KahanHurt Somebody (With Julia Michaels),Danceability,0.633
CherThe Shoop Shoop Song (It's In His Kiss),Danceability,0.678
Jason DeruloIn My Head,Danceability,0.762
Robert PalmerShe Makes My Day,Danceability,0.538
Little MixSecret Love Song (feat. Jason Derulo),Danceability,0.539
David Lee RothCalifornia Girls,Danceability,0.582
Kool & The GangLadies Night - Single Version,Danceability,0.675
ColdplayFix You,Danceability,0.209
"Teddy Cream, SzaboHorses",Danceability,0.676
Daryl BraithwaiteOne Summer,Danceability,0.665
Ellie GouldingHow Long Will I Love You - Bonus Track,Danceability,0.512
MadasunDon't You Worry,Danceability,0.818
Creedence Clearwater RevivalUp Around The Bend,Danceability,0.589
Gym Class HeroesAss Back Home (feat. Neon Hitch),Danceability,0.716
David GuettaShot Me Down (feat. Skylar Grey) - Radio Edit,Danceability,0.347
Jay & The AmericansShe Cried,Danceability,0.418
"Barry WhiteCan't Get Enough Of Your Love, Babe",Danceability,0.731
SkyhooksWomen in Uniform - 1994 Remaster,Danceability,0.334
The Madden BrothersWe Are Done,Danceability,0.78
"BZ, JoanneJackie - Radio Edit",Danceability,0.852
Culture BeatGot to Get It,Danceability,0.668
Marques HoustonCircle,Danceability,0.676
"Andrew Lloyd WebberDon't Cry For Me Argentina - From ""Evita""",Danceability,0.235
Run–D.M.C.It's Like That,Danceability,0.852
Jamie LawsonAhead of Myself,Danceability,0.668
The PreaturesIs This How You Feel?,Danceability,0.536
MadonnaCrazy for You,Danceability,0.667
"The Fureys, Davey ArthurWhen You Were Sweet Sixteen",Danceability,0.438
"Nancy Sinatra, Lee HazlewoodJackson",Danceability,0.601
The FortunesYou've Got Your Troubles - Remastered,Danceability,0.628
Lizzo2 Be Loved (Am I Ready),Danceability,0.721
ShakiraUnderneath Your Clothes,Danceability,0.616
Garrett KatoSweet Jane,Danceability,0.409
Mariah CareyEmotions,Danceability,0.74
Cheap TrickDon't Be Cruel,Danceability,0.538
Route 94My Love,Danceability,0.818
Dead Or AliveYou Spin Me Round (Like a Record),Danceability,0.554
SigmaHigher,Danceability,0.45
Sofi TukkerBaby I'm A Queen,Danceability,0.642
Lady GagaJust Dance,Danceability,0.818
Michael JacksonThe Way You Make Me Feel - 2012 Remaster,Danceability,0.877
1927If I Could,Danceability,0.687
Lou RawlsYou'll Never Find Another Love Like Mine,Danceability,0.691
Various ArtistsLove Potion No. 9,Danceability,0.71
JoeNo One Else Comes Close,Danceability,0.608
Air SupplyThe One That You Love,Danceability,0.396
Creedence Clearwater RevivalHave You Ever Seen The Rain?,Danceability,0.741
The OffspringCome Out and Play,Danceability,0.519
Triple XX-Files Theme (Skitz Radio Mix),Danceability,0.438
"Calvin Harris, The WeekndOver Now (with The Weeknd)",Danceability,0.6
PrinceCream,Danceability,0.861
WestlifeIf I Let You Go - Radio Edit,Danceability,0.579
Black Eyed PeasI Gotta Feeling,Danceability,0.743
Bee GeesMore Than A Woman,Danceability,0.632
Kate BushBabooshka,Danceability,0.466
Demi LovatoDancing With The Devil,Danceability,0.413
SilverchairTomorrow,Danceability,0.292
George MichaelKissing a Fool - Remastered,Danceability,0.28
Avril LavigneGirlfriend,Danceability,0.56
The DupreesYou Belong To Me,Danceability,0.322
Michael BoltonHow Can We Be Lovers,Danceability,0.399
Kim CesarionI Love This Life,Danceability,0.499
ErasureLay All Your Love On Me,Danceability,0.581
P!nkMost Girls,Danceability,0.742
LordeGreen Light,Danceability,0.616
Nick SkitzA Little Bit (Double M’s Radio Edit),Danceability,0.87
San CiscoFred Astaire,Danceability,0.408
The SwingersCounting The Beat,Danceability,0.417
Justin TimberlakeSay Something (feat. Chris Stapleton),Danceability,0.707
Tracy ChapmanFast Car,Danceability,0.711
Black Eyed PeasRock That Body,Danceability,0.715
Eskimo JoeLosing Friends over Love,Danceability,0.623
Simple PlanJet Lag (feat. Natasha Bedingfield),Danceability,0.535
Justin TimberlakeMirrors,Danceability,0.574
Various ArtistsFoundations - Edit,Danceability,0.67
Ricki-LeeDo It Like That,Danceability,0.401
The StranglersGolden Brown,Danceability,0.562
2PacRunnin' (Dying To Live),Danceability,0.531
KasabianWhere Did All the Love Go?,Danceability,0.656
KeshaWe R Who We R,Danceability,0.734
The ScriptFor the First Time,Danceability,0.396
DjfrancofabiFlaunt it,Danceability,0.898
Lady GagaPaparazzi,Danceability,0.762
"Tate McRae, Ali Gatielie to me",Danceability,0.642
"Various ArtistsLet It Go - From ""Frozen""/Soundtrack Version",Danceability,0.543
Daddy CoolEagle Rock - 2011 Remaster,Danceability,0.618
Wretch 32Unorthodox - Radio Edit,Danceability,0.724
The ScriptRain,Danceability,0.689
Ms. Lauryn HillCan't Take My Eyes Off of You - (I Love You Baby),Danceability,0.747
SelwynRich Girl,Danceability,0.74
U2Beautiful Day,Danceability,0.536
George EzraHold My Girl,Danceability,0.614
ShaggyHey Sexy Lady,Danceability,0.957
The HolliesToo Young to Be Married - 1999 Remaster,Danceability,0.482
Various ArtistsDon't You Want Me - Edit,Danceability,0.562
T.I.Whatever You Like,Danceability,0.68
"Paul Woolford, Amber MarkHEAT",Danceability,0.651
Connie FrancisBreakin' In A Brand New Broken Heart,Danceability,0.256
Ou Est Le Swimming PoolJackson’s Last Stand - Radio Edit,Danceability,0.602
Mashd N KutcherDo It Now - Radio Edit,Danceability,0.872
Jam & SpoonRight in the Night (feat. Plavka) - Fall in Love with Music,Danceability,0.74
Jennifer LopezAll I Have (feat. LL Cool J),Danceability,0.699
EternalPower of a Woman,Danceability,0.75
Kris KrossJump,Danceability,0.749
Alan WalkerFaded,Danceability,0.589
The Civil WarsPoison & Wine,Danceability,0.284
John FogertyThe Old Man Down The Road,Danceability,0.768
Atomic KittenWhole Again,Danceability,0.742
The Rolling StonesFortune Teller - Mono,Danceability,0.476
Josh PykeYou Don't Scare Me,Danceability,0.524
Olivia Newton-JohnHopelessly Devoted To You - From “Grease” Soundtrack,Danceability,0.375
HockeyToo Fake,Danceability,0.668
"Howard ShoreI See Fire - From ""The Hobbit - The Desolation Of Smaug""",Danceability,0.581
Whitney HoustonI Will Always Love You,Danceability,0.332
One DirectionKiss You,Danceability,0.63
Black Eyed PeasPump It,Danceability,0.648
CAKEThe Distance,Danceability,0.456
Christina PerriJar of Hearts,Danceability,0.349
Samantha JadeWhat You've Done to Me,Danceability,0.646
Richard MarxHazard,Danceability,0.674
Shania Twain(If You're Not In It For Love) I'm Outta Here!,Danceability,0.772
Kanye WestGold Digger,Danceability,0.686
Macklemore & Ryan LewisSame Love (feat. Mary Lambert),Danceability,0.56
Savage GardenBreak Me Shake Me,Danceability,0.753
Floyd CramerOn the Rebound,Danceability,0.573
Kenny Rogers & The First EditionReuben James,Danceability,0.712
Air SupplyLost In Love,Danceability,0.587
Lenny KravitzFly Away,Danceability,0.587
"Peter\, Paul and MaryBlowin' in the Wind",Danceability,0.381
A Flock Of SeagullsI Ran (So Far Away),Danceability,0.498
BeyoncéSingle Ladies (Put a Ring on It),Danceability,0.426
