ID,Metric,Value
Craig DavidHidden Agenda - New Mix,Acousticness,0.252
FrankeeF.U.R.B. (F U Right Back),Acousticness,0.0993
Various ArtistsI Can Dream About You,Acousticness,0.1
EaglesDesperado - 2013 Remaster,Acousticness,0.946
Dua LipaHotter Than Hell,Acousticness,0.011
Linda RonstadtBlue Bayou,Acousticness,0.739
GummibärI'm Your Funny Bear - The Gummi Bear Song,Acousticness,0.0485
Simon & GarfunkelCecilia,Acousticness,0.357
Perry ComoFor the Good Times,Acousticness,0.632
ABBAThe Name Of The Game,Acousticness,0.357
John LennonInstant Karma! (We All Shine On) - Remastered 2010,Acousticness,0.000899
Paula AbdulOpposites Attract,Acousticness,0.0337
Aretha FranklinSpanish Harlem,Acousticness,0.235
The String-A-LongsWheels,Acousticness,0.689
Marcia HinesYour Love Still Brings Me To My Knees,Acousticness,0.182
Various ArtistsGood Morning Starshine,Acousticness,0.394
Tina ArenaChains,Acousticness,0.267
"Pauline Henry, The ChimesFeel Like Making Love - Edit",Acousticness,0.000746
Various ArtistsThe Unguarded Moment,Acousticness,0.122
PretendersHymn to Her - 2007 Remaster,Acousticness,0.127
Pseudo EchoFunky Town,Acousticness,0.0935
BeyoncéXO,Acousticness,0.164
"Joel Corry, MNEKHead & Heart (feat. MNEK)",Acousticness,0.168
The Asteroids Galaxy TourThe Golden Age,Acousticness,0.141
Jessica MauboyLet Me Be Me,Acousticness,0.0142
Joel CorryLonely,Acousticness,0.0947
Justin BieberI'll Show You,Acousticness,0.05
Steely DanPeg,Acousticness,0.0608
Phillip PhillipsHome,Acousticness,0.0215
Nicki MinajStarships,Acousticness,0.135
Thin LizzyThe Boys Are Back In Town,Acousticness,0.252
360Price Of Fame,Acousticness,0.0461
Groove ArmadaSuperstylin',Acousticness,0.00346
Naughty BoyLa La La,Acousticness,0.11
R.E.M.Everybody Hurts,Acousticness,0.614
The ShirellesSoldier Boy,Acousticness,0.754
Ronnie And The Hi-LitesI Wish That We Were Married,Acousticness,0.856
New Kids On The BlockTonight,Acousticness,0.103
QueenCrazy Little Thing Called Love - Remastered 2011,Acousticness,0.714
Guy SebastianBefore I Go,Acousticness,0.419
AquaLollipop (Candyman),Acousticness,0.0261
Reece MastinRock$tar,Acousticness,0.0127
Amii StewartLight My Fire,Acousticness,0.128
Pet Shop BoysWest End Girls - 2001 Remaster,Acousticness,0.0114
"Shawn Mendes, Justin BieberMonster (Shawn Mendes & Justin Bieber)",Acousticness,0.0676
"Regard, RAYESecrets",Acousticness,0.0412
Wham!Young Guns (Go for It!),Acousticness,0.201
The Bellamy BrothersLet Your Love Flow,Acousticness,0.0611
Justin TimberlakeCry Me a River,Acousticness,0.577
PitbullRain Over Me (feat. Marc Anthony),Acousticness,0.00416
KlaxonsTwin Flames,Acousticness,0.00044
"Deorro, Chris BrownFive More Hours",Acousticness,0.0288
Charli XCXYou're the One,Acousticness,0.00191
MarlisaStand By You,Acousticness,0.332
Three Dog NightJoy To The World,Acousticness,0.0384
PowderfingerMy Kind Of Scene,Acousticness,0.012
Various ArtistsLove Me,Acousticness,0.696
"KathrynNever Knew I Needed (From ""the Princess and the Frog"")",Acousticness,0.0122
The Smashing Pumpkins1979 - Remastered 2012,Acousticness,0.0163
FiveWe Will Rock You - Radio Edit,Acousticness,0.0184
The 1975The Sound,Acousticness,0.085
Weddings Parties AnythingFather's Day,Acousticness,0.0183
Katy PerryFirework,Acousticness,0.139
MetallicaUntil It Sleeps,Acousticness,0.000248
"Jonas Blue, MAXNaked",Acousticness,0.36
Black BoxRide on Time,Acousticness,0.00128
Justice CrewBoom Boom,Acousticness,0.153
P!nkWhat About Us,Acousticness,0.0252
Katy PerryTeenage Dream,Acousticness,0.0132
Chicago25 or 6 to 4 - 2002 Remaster,Acousticness,0.309
Britney SpearsIf U Seek Amy,Acousticness,0.0192
HockeyToo Fake,Acousticness,0.0211
"Ellie GouldingLove Me Like You Do - From ""Fifty Shades Of Grey""",Acousticness,0.247
Tony Joe WhitePolk Salad Annie,Acousticness,0.303
Taylor SwiftWe Are Never Ever Getting Back Together,Acousticness,0.0105
WeenPush Th' Little Daisies,Acousticness,0.176
Elvis PresleyBurning Love,Acousticness,0.107
Bon JoviIt's My Life,Acousticness,0.0263
Percy FaithTheme from a Summer Place,Acousticness,0.241
Bee GeesRun To Me,Acousticness,0.474
"Jennifer Warnes(I've Had) The Time of My Life - From ""Dirty Dancing"" Soundtrack",Acousticness,0.0874
SheppardSmile,Acousticness,0.415
"CID, Bahary, The Flying LizardsMoney",Acousticness,0.0218
Aleesha RomeSearch My Heaven,Acousticness,0.271
The PoliceEvery Breath You Take - Remastered 2003,Acousticness,0.543
The Rolling StonesSympathy For The Devil,Acousticness,0.578
Billy PaulMe and Mrs. Jones,Acousticness,0.388
Bernard FanningReckless,Acousticness,0.348
SkrillexBangarang (feat. Sirah),Acousticness,0.0145
Bruce SpringsteenStreets of Philadelphia - Single Edit,Acousticness,0.341
Brenda LeeBreak It To Me Gently,Acousticness,0.701
Tom Petty and the HeartbreakersThe Waiting,Acousticness,0.0357
KC & The Sunshine BandThat's the Way (I Like It) - 2004 Remaster,Acousticness,0.191
Atlas GeniusTrojans,Acousticness,0.0113
EminemWe Made You,Acousticness,0.107
INXSNever Tear Us Apart,Acousticness,0.00309
Ariana GrandeGod is a woman,Acousticness,0.0233
HozierTake Me To Church,Acousticness,0.637
CDBLet's Groove,Acousticness,0.127
Blu CantrellBreathe (feat. Sean Paul) - Rap Version,Acousticness,0.048
Van HalenYou Really Got Me,Acousticness,0.0159
Broken BellsThe High Road,Acousticness,0.0672
Various ArtistsThe Others (Radio Edit),Acousticness,0.021
Ace CannonTuff,Acousticness,0.971
Lou ReedWalk on the Wild Side,Acousticness,0.683
Various ArtistsThe Lion Sleeps Tonight,Acousticness,0.0153
Various Artists(I Just) Died In Your Arms,Acousticness,0.0342
Vanessa CarltonA Thousand Miles,Acousticness,0.323
Lewis CapaldiSomeone You Loved,Acousticness,0.751
Milky ChanceStolen Dance,Acousticness,0.427
The Everly BrothersCathy's Clown,Acousticness,0.412
Phil CollinsAgainst All Odds (Take a Look at Me Now) - 2016 Remaster,Acousticness,0.198
The All-American RejectsGives You Hell,Acousticness,0.0159
Joan BaezThe Night They Drove Old Dixie Down,Acousticness,0.558
John MellencampI Need A Lover,Acousticness,0.00474
Duran DuranPlanet Earth - 2010 Remaster,Acousticness,0.00228
RAYENatalie Don't,Acousticness,0.176
Stacie OrricoI'm Not Missing You,Acousticness,0.172
John MellencampPop Singer,Acousticness,0.038
Andy GrammerFresh Eyes,Acousticness,0.559
Gareth GatesUnchained Melody,Acousticness,0.255
Gloria EstefanHere We Are,Acousticness,0.639
Rebecca FergusonNothing's Real but Love,Acousticness,0.533
50 Cent21 Questions,Acousticness,0.349
BeyoncéNaughty Girl,Acousticness,0.237
Engelbert HumperdinckA Man Without Love,Acousticness,0.729
Sara BareillesBrave,Acousticness,0.00502
"Macklemore & Ryan Lewis, Macklemore, Ryan LewisThrift Shop (feat. Wanz)",Acousticness,0.0619
Jessie JMasterpiece,Acousticness,0.02
Color Me BaddI Wanna Sex You Up - Single Mix,Acousticness,0.00549
FergieBig Girls Don't Cry (Personal),Acousticness,0.173
RoxetteFading Like A Flower (Every Time You Leave),Acousticness,0.195
Charlie PuthMarvin Gaye (feat. Meghan Trainor),Acousticness,0.417
"Roy OrbisonOh, Pretty Woman",Acousticness,0.725
SantanaInto the Night (feat. Chad Kroeger),Acousticness,0.0137
RaspberriesGo All The Way,Acousticness,0.548
Maroon 5Girls Like You (feat. Cardi B),Acousticness,0.567
Tones And ICloudy Day,Acousticness,0.0691
Conor MaynardR U Crazy - Radio Edit,Acousticness,0.0699
HardwellFollow Me,Acousticness,0.0127
Carly SimonMockingbird,Acousticness,0.0532
MiguelAdorn,Acousticness,0.0543
Ariana GrandeSide To Side,Acousticness,0.0415
"Yall, Gabriela RichardsonHundred Miles",Acousticness,0.025
Felix JaehnAin't Nobody (Loves Me Better),Acousticness,0.683
Savage GardenHold Me,Acousticness,0.133
FilterTake a Picture,Acousticness,0.000103
MetallicaFuel,Acousticness,2.02E-05
Janet JacksonThat's The Way Love Goes,Acousticness,0.302
HRVY1 Day 2 Nights,Acousticness,0.0798
Various ArtistsSandy,Acousticness,0.636
Jessie JPersonal,Acousticness,0.412
Various ArtistsShow No Mercy,Acousticness,0.109
StepsTragedy,Acousticness,0.0546
Electric Light OrchestraEvil Woman,Acousticness,0.461
EvermoreHey Boys and Girls (Truth of the World Pt. 2),Acousticness,0.00531
Ron HoldenLove You So,Acousticness,0.837
Paul McCartneyMull Of Kintyre,Acousticness,0.00128
Alicia KeysNo One,Acousticness,0.03
Jess GlynneRather Be (feat. Jess Glynne),Acousticness,0.162
Kelly ClarksonSomeone,Acousticness,0.368
The Rolling StonesIt's All Over Now - Mono Version,Acousticness,0.0239
Clean BanditReal Love,Acousticness,0.0834
ELAZCreep,Acousticness,0.625
PowderfingerAlready Gone,Acousticness,0.0254
"Sofa SoundsWand'rin' Star (From the ""Amazon Prime - Dog With A Bad Leg"" TV Advert) - Remastered",Acousticness,0.831
"Nathaniel Rateliff & The Night Sweats, Nathaniel RateliffS.O.B.",Acousticness,0.267
Deee-LiteGroove Is in the Heart,Acousticness,0.0153
Bruno MarsJust the Way You Are,Acousticness,0.0134
LabrinthLet It Be,Acousticness,0.236
The PanicsDon't Fight It,Acousticness,0.477
Foo FightersThese Days,Acousticness,0.000261
IncubusDrive,Acousticness,0.0597
"Gary Puckett & The Union GapWoman, Woman",Acousticness,0.524
Johnny Diesel & The InjectorsCry In Shame,Acousticness,0.0461
PrasGhetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),Acousticness,0.0335
EMFUnbelievable,Acousticness,0.000341
Lady AOne Great Mystery,Acousticness,0.37
Belinda CarlisleMad About You,Acousticness,0.00572
The TrashmenSurfin' Bird,Acousticness,0.000869
P!nkJust Give Me a Reason (feat. Nate Ruess),Acousticness,0.346
"Sam Fischer, Luca SchreinerThis City - Luca Schreiner Remix",Acousticness,0.298
David GuettaWhen Love Takes Over (feat. Kelly Rowland),Acousticness,0.0165
Acker BilkStranger On The Shore,Acousticness,0.913
AliasMore Than Words Can Say,Acousticness,0.609
Little MixConfetti (feat. Saweetie),Acousticness,0.177
Justin BieberNothing Like Us,Acousticness,0.987
La BoucheI Love To Love,Acousticness,0.000239
Bobby RydellSwingin' School,Acousticness,0.554
AFROJACKTake Over Control,Acousticness,0.238
Robbie NevilJust Like You,Acousticness,0.113
HinderBetter Than Me,Acousticness,0.205
Don McLeanAmerican Pie,Acousticness,0.6
Kylie MinogueSexy Love,Acousticness,0.0242
Leif GarrettI Was Made for Dancin',Acousticness,0.0319
Bliss n EsoAct Your Age,Acousticness,0.0101
Sonia Dada(Lover) You Don't Treat Me No Good,Acousticness,0.188
Plain White T'sOur Time Now,Acousticness,0.0137
CascadaEvacuate The Dancefloor,Acousticness,0.0167
ParamoreIgnorance,Acousticness,0.00109
Fatman ScoopBe Faithful,Acousticness,0.0336
Guy SebastianLove On Display,Acousticness,0.206
Normie RoweThe Breaking Point - 2015 Remaster,Acousticness,0.0258
The BeatlesSomething - Remastered 2009,Acousticness,0.198
Taio CruzLittle Bad Girl,Acousticness,0.00595
Ellie GouldingBeating Heart,Acousticness,0.189
Diddy - Dirty MoneyComing Home,Acousticness,0.164
"Cher, Sonny & CherA Cowboy's Work Is Never Done",Acousticness,0.517
Boom Crash OperaDancing In The Storm,Acousticness,0.0214
DefaultWasting My Time,Acousticness,0.00171
BreadMake It with You,Acousticness,0.66
MuseSupermassive Black Hole,Acousticness,0.0492
Savage GardenChained To You,Acousticness,0.0034
"Axwell /\ Ingrosso, Axwell, Sebastian IngrossoMore Than You Know",Acousticness,0.0323
SisqoThong Song,Acousticness,0.119
Hilltop HoodsStill Standing - Radio Edit,Acousticness,0.315
UB40Here I Am (Come And Take Me),Acousticness,0.0975
Red Hot Chili PeppersUnder the Bridge,Acousticness,0.0576
R. KellyI Believe I Can Fly,Acousticness,0.241
ABBAOn And On And On,Acousticness,0.267
Hootie & The BlowfishLet Her Cry,Acousticness,0.0353
BlackfeatherBoppin' the Blues,Acousticness,0.497
Johnny ChesterThe Worlds Greatest Mum,Acousticness,0.626
The Human LeagueMirror Man,Acousticness,0.0635
Sam HuntBody Like A Back Road,Acousticness,0.447
"Fall Out BoyThis Ain't A Scene, It's An Arms Race",Acousticness,0.000747
Carolina LiarI'm Not Over,Acousticness,0.000742
Arrested DevelopmentPeople Everyday - Metamorphosis Mix,Acousticness,0.00852
Jessica MauboyUp/Down,Acousticness,0.0114
Cold ChiselKhe Sanh,Acousticness,0.149
Nelly FurtadoTurn Off The Light,Acousticness,0.0842
INXSThe One Thing,Acousticness,0.0152
Lily AllenSmile,Acousticness,0.00147
Taylor DayneTell It to My Heart,Acousticness,0.0302
"Liam Payne, J BalvinFamiliar",Acousticness,0.0161
The TemptationsMy Girl,Acousticness,0.625
Bobby GoldsboroSummer (The First Time),Acousticness,0.624
Chaka KhanI Feel for You,Acousticness,0.0145
NazarethLove Hurts - Single Edit,Acousticness,0.00693
CreedWith Arms Wide Open,Acousticness,0.00312
Crowded HouseDon't Dream It's Over,Acousticness,0.0148
Wild CherryPlay That Funky Music,Acousticness,0.0435
Various ArtistsI Love to Love (But My Baby Loves to Dance),Acousticness,0.00413
Simian Mobile DiscoCruel Intentions,Acousticness,0.00208
"Mickie James, Chapel Hart, ZaheerGAW - Zaheer Remix",Acousticness,0.25
Jennifer LopezAin't It Funny,Acousticness,0.104
Birds Of TokyoAnchor,Acousticness,0.0818
Big PigBreakaway,Acousticness,0.222
GANGgajangSounds of Then (This Is Australia),Acousticness,0.0266
"Annie LennoxNo More ""I Love You's""",Acousticness,0.517
"Kygo, Selena GomezIt Ain't Me (with Selena Gomez)",Acousticness,0.119
blink-182I Miss You,Acousticness,0.000843
GossipLove Long Distance,Acousticness,0.0355
FlumeNever Be Like You,Acousticness,0.402
Sandie ShawYou've Not Changed,Acousticness,0.245
Charlie PuthLight Switch,Acousticness,0.105
Jonas BrothersWhat A Man Gotta Do,Acousticness,0.00839
Richard MarxEndless Summer Nights,Acousticness,0.12
Bill & BoydChulu Chululu,Acousticness,0.359
The Dave Brubeck QuartetTake Five,Acousticness,0.539
TimomaticParachute,Acousticness,0.027
Bag RaidersShooting Stars,Acousticness,0.0879
Rise AgainstSavior,Acousticness,0.0015
L D R UKeeping Score (feat. Paige IV),Acousticness,0.0245
Rita OraI Will Never Let You Down,Acousticness,0.403
HurtsWonderful Life,Acousticness,0.167
The CookiesDon't Say Nothin' Bad (About My Baby),Acousticness,0.71
AudioslaveLike a Stone,Acousticness,0.00797
Various ArtistsI Love The Nightlife (Disco 'Round),Acousticness,0.159
AgnesRelease Me,Acousticness,0.00597
Phil CollinsOne More Night - 2016 Remaster,Acousticness,0.802
Espérame en RomaAl di là,Acousticness,0.682
Lady GagaRain On Me (with Ariana Grande),Acousticness,0.021
Jason DeruloIf I'm Lucky,Acousticness,0.00413
Lady GagaYou And I,Acousticness,0.0892
"Tommy Boyce, Bobby HartAlice Long (You're Still My Favorite Girlfriend) - Mono Version",Acousticness,0.0281
Cheap TrickSurrender,Acousticness,0.00717
SantanaJust Feel Better (feat. Steven Tyler),Acousticness,0.0777
Crowded HouseDon't Dream It's Over,Acousticness,0.0246
AviciiBroken Arrows,Acousticness,0.0487
The DriftersSave the Last Dance for Me,Acousticness,0.614
Dua LipaBe the One,Acousticness,0.117
PitbullFireball (feat. John Ryan),Acousticness,0.0908
"The SeekersSomeday, One Day",Acousticness,0.26
Justin TimberlakeMirrors - Radio Edit,Acousticness,0.144
Gary GlitterDo You Wanna Touch Me? (Oh Yeah!),Acousticness,0.00408
Foo FightersBest of You,Acousticness,0.000769
The ScriptThe Last Time,Acousticness,0.0486
T-PainBuy U a Drank (Shawty Snappin') (feat. Yung Joc),Acousticness,0.0108
The KinksYou Really Got Me,Acousticness,0.493
Candi StatonYoung Hearts Run Free,Acousticness,0.13
Soft CellTainted Love,Acousticness,0.462
Luke CombsGrowin' Up and Gettin' Old,Acousticness,0.16
Iggy AzaleaFancy,Acousticness,0.0904
BluejuiceAin't Telling The Truth,Acousticness,0.274
SteppenwolfMagic Carpet Ride,Acousticness,0.142
Lawrence ReynoldsJesus Is a Soul Man,Acousticness,0.42
John MayerWho You Love (feat. Katy Perry),Acousticness,0.813
Bonnie RaittI Can't Make You Love Me,Acousticness,0.846
Eric Burdon & the AnimalsWhen I Was Young,Acousticness,0.219
Room 5Make Luv,Acousticness,0.0111
AshantiFoolish,Acousticness,0.337
"Earth\, Wind & FireLet's Groove",Acousticness,0.121
Dusty SpringfieldWishin' And Hopin',Acousticness,0.232
ShaggyOh Carolina,Acousticness,0.469
Van HalenJump - 2004 Remaster,Acousticness,0.123
Hot ButterPopcorn,Acousticness,0.0425
Sam SmithStay With Me,Acousticness,0.55
Passion PitThe Reeling,Acousticness,0.000366
Chris SebastianHard To Get To Love,Acousticness,0.0943
KelisMilkshake,Acousticness,0.00986
D12Purple Pills,Acousticness,0.0199
Fall Out BoyThnks fr th Mmrs,Acousticness,0.00511
The Midnight BeastTik Tok (Parody),Acousticness,0.152
PitbullGreenlight (feat. Flo Rida & LunchMoney Lewis),Acousticness,0.245
Herb Alpert & The Tijuana BrassThis Guy's In Love With You,Acousticness,0.858
Chet FakerTalk Is Cheap,Acousticness,0.416
Johnny Young & KompanyStep Back,Acousticness,0.375
Laura BraniganGloria,Acousticness,0.135
DreamworldMovin' Up,Acousticness,0.022
Kylie MinogueHand on Your Heart,Acousticness,0.239
Ann Lee2 Times - Original,Acousticness,0.1
MetricHelp I'm Alive,Acousticness,0.00813
Pauline PantsdownI Don't Like It,Acousticness,0.0591
Alexandra StanMr. Saxobeat - Radio Edit,Acousticness,0.0276
IllyMirror (feat. Wrabel),Acousticness,0.221
Various ArtistsThong Song,Acousticness,0.0783
QueenCrazy Little Thing Called Love - Remastered 2011,Acousticness,0.713
John PhillipsMississippi - Single Version,Acousticness,0.191
"AronChupa, Little Sis NoraI'm an Albatraoz",Acousticness,0.601
Phil CollinsYou Can't Hurry Love - 2016 Remaster,Acousticness,0.0261
The CorrsLove to Love You,Acousticness,0.178
Tony BennettI Wanna Be Around...,Acousticness,0.768
The SearchersBumble Bee - Mono Version,Acousticness,0.635
Alanis MorissetteHead over Feet - 2015 Remaster,Acousticness,0.0562
Charlie PuthOne Call Away,Acousticness,0.403
Empire of the SunWalking On A Dream,Acousticness,0.245
Wham!Last Christmas,Acousticness,0.189
Will SmithBlack Suits Comin' (Nod Ya Head),Acousticness,0.00703
Various ArtistsThe Star,Acousticness,0.622
SpringwaterI Will Return,Acousticness,0.896
Various ArtistsSeasons in the Sun,Acousticness,0.443
Spice GirlsViva Forever,Acousticness,0.0942
DeadstarRun Baby Run,Acousticness,0.00299
Cliff RichardSome People,Acousticness,0.243
Panic! At The DiscoNew Perspective,Acousticness,0.00313
Rita OraHow To Be Lonely,Acousticness,0.0293
Tones And IDance Monkey,Acousticness,0.688
Carl DouglasKung Fu Fighting,Acousticness,0.0422
Faith No MoreFalling to Pieces,Acousticness,0.00272
Andy GrammerBack Home,Acousticness,0.0388
Armand Van HeldenMy My My,Acousticness,0.00771
David GuettaMemories (feat. Kid Cudi),Acousticness,0.00158
"Tiësto, Tate McRae10:35",Acousticness,0.0683
Small FacesTin Soldier (Stereo),Acousticness,0.0575
Katy PerryHot N Cold,Acousticness,7.95E-05
The StylisticsYou Are Everything,Acousticness,0.843
Keith UrbanOnly You Can Love Me This Way,Acousticness,0.457
Calum ScottYou Are The Reason,Acousticness,0.918
U2With Or Without You,Acousticness,0.000128
Havana BrownWe Run The Night,Acousticness,0.0117
Deep PurpleSmoke on the Water - 1997 Remaster,Acousticness,0.0245
"Céline DionMy Heart Will Go On - Love Theme from ""Titanic""",Acousticness,0.732
Billy JoelThe River of Dreams,Acousticness,0.205
Bruno MarsLocked out of Heaven,Acousticness,0.049
Nelly FurtadoAll Good Things (Come To An End) - Radio Edit,Acousticness,0.231
Mary MaryShackles (Praise You),Acousticness,0.0313
"Rema, Selena GomezCalm Down (with Selena Gomez)",Acousticness,0.382
The Cat EmpireOne Four Five,Acousticness,0.463
Billy Thorpe & The AztecsMost People I Know,Acousticness,0.57
Donna SummerI Feel Love,Acousticness,0.031
The PoliceDon't Stand So Close To Me - Remastered 2003,Acousticness,0.0451
The Chemical BrothersHey Boy Hey Girl,Acousticness,0.119
Pharrell WilliamsFreedom,Acousticness,0.395
David DundasAnother Funny Honeymoon,Acousticness,0.183
Various ArtistsSunflower - Spider-Man: Into the Spider-Verse,Acousticness,0.556
Matt CorbyBrother,Acousticness,0.0374
T. RexChildren Of The Revolution,Acousticness,0.0516
Jewel AkensThe Birds and the Bees,Acousticness,0.15
Amy SharkEverybody Rise,Acousticness,0.0343
Claudine ClarkParty Lights,Acousticness,0.0661
Alicia KeysIf I Ain't Got You,Acousticness,0.607
Taio CruzThere She Goes,Acousticness,0.0534
Coi LerayPlayers,Acousticness,0.03
Red Hot Chili PeppersBreaking the Girl,Acousticness,0.0567
Jordin SparksTattoo,Acousticness,0.431
"Peter\, Paul and MaryPuff, the Magic Dragon",Acousticness,0.51
"Richard Harris, Scott EnglishBrandy - Rerecorded 1972",Acousticness,0.708
The AngelsNo Secrets,Acousticness,0.000163
Human NatureHe Don't Love You - Remastered,Acousticness,0.285
Jennifer LopezLove Don't Cost a Thing,Acousticness,0.00275
Taylor SwiftMr. Perfectly Fine (Taylor’s Version) (From The Vault),Acousticness,0.167
Calvin HarrisSlide (feat. Frank Ocean & Migos),Acousticness,0.498
Bette MidlerWind Beneath My Wings,Acousticness,0.551
The Rolling StonesStart Me Up - 2009 Re-Mastered Digital Version,Acousticness,0.0436
Toni PearenI Want You,Acousticness,0.058
Paris HiltonStars Are Blind,Acousticness,0.00593
Ariana Grande7 rings,Acousticness,0.559
Billie PiperDay and Night,Acousticness,0.578
Kelly RowlandWork - Freemasons Radio Edit,Acousticness,0.0504
Cyndi LauperTime After Time,Acousticness,0.487
Clean BanditRather Be (feat. Jess Glynne),Acousticness,0.162
Various ArtistsThere's Nothing I Won't Do,Acousticness,0.00124
Led ZeppelinRock and Roll - 1990 Remaster,Acousticness,0.000564
Guy SebastianDon't Worry Be Happy,Acousticness,0.00201
TacoPuttin' on the Ritz,Acousticness,0.152
MuseNeutron Star Collision (Love Is Forever) - Soundtrack Version,Acousticness,0.00379
NEIKEDSexual,Acousticness,0.0623
EminemWhen I'm Gone,Acousticness,0.0493
JewelYou Were Meant For Me,Acousticness,0.791
Diana RossTouch Me In The Morning - First Pressing Single Version,Acousticness,0.226
The Rolling StonesHonky Tonk Women - Mono Version,Acousticness,0.363
Men At WorkOverkill,Acousticness,0.087
KT TunstallSuddenly I See,Acousticness,0.21
Jackie WilsonBaby Workout,Acousticness,0.515
Holly ValanceDown Boy - Radio Edit,Acousticness,0.0607
John DenverI'm Sorry,Acousticness,0.891
T-PainTake Your Shirt Off,Acousticness,0.0113
HalseyNow Or Never,Acousticness,0.1
Maroon 5Love Somebody,Acousticness,0.145
"Andrew Lloyd Webber, Tim Rice, Jesus Christ Superstar - The Original Studio CastSuperstar",Acousticness,0.0569
Bloc PartyOne More Chance,Acousticness,0.000266
"Eurythmics, Annie Lennox, Dave StewartRight By Your Side - Remastered Version",Acousticness,0.0391
The MonkeesCuddly Toy - 2007 Remaster,Acousticness,0.617
Gavin JamesNervous,Acousticness,0.375
SpiderbaitBuy Me A Pony,Acousticness,0.00183
The Young RascalsGroovin',Acousticness,0.595
SiaElastic Heart,Acousticness,0.0117
The PresetsIf I Know You,Acousticness,0.263
The BeatlesCan't Buy Me Love - Remastered 2009,Acousticness,0.283
Arrested DevelopmentPeople Everyday - Metamorphosis Mix,Acousticness,0.0074
JetLook What You've Done,Acousticness,0.414
Kids In The KitchenChange in Mood,Acousticness,0.147
Shawn MendesMercy,Acousticness,0.125
Last DinosaursZoom,Acousticness,0.00018
"Jim CroceBad, Bad Leroy Brown",Acousticness,0.706
Steve LawrencePortrait of My Love,Acousticness,0.889
Del Shannon with OrchestraLittle Town Flirt,Acousticness,0.0464
Emeli SandéNext To Me,Acousticness,0.0932
The CoralDreaming of You,Acousticness,0.374
Larry FinneganDear One,Acousticness,0.394
Boyz II MenEnd Of The Road,Acousticness,0.0664
Vance JoyI'm With You - Single Edit,Acousticness,0.0796
Peaches & HerbReunited,Acousticness,0.851
Art GarfunkelBright Eyes,Acousticness,0.696
Various ArtistsCats In The Cradle,Acousticness,0.165
Steve PerryOh Sherrie,Acousticness,0.312
KygoFirst Time,Acousticness,0.225
Graham BonnetWarm Ride,Acousticness,0.254
GarbageSpecial,Acousticness,1.40E-05
Post MaloneI Fall Apart,Acousticness,0.0782
Rod StewartBaby Jane - 2008 Remaster,Acousticness,0.0137
TimomaticWaterfalls,Acousticness,0.161
Alex PartyDon't Give Me Your Life - Radio Version,Acousticness,0.119
The VeronicasWhen It All Falls Apart,Acousticness,0.00248
WeezerBuddy Holly,Acousticness,0.00611
1910 Fruitgum Company1 2 3 Red Light,Acousticness,0.0538
The FirmStar Trekkin' - Original Radio Version,Acousticness,0.0586
Marcia HinesI Just Don't Know What To Do With Myself,Acousticness,0.0567
Pink FloydWish You Were Here - 2011 Remastered Version,Acousticness,0.735
OneRepublicLove Runs Out,Acousticness,0.171
George HarrisonWhat Is Life - Remastered 2014,Acousticness,0.00654
Matchbox TwentyPush,Acousticness,0.0067
Michael BubléGod Only Knows,Acousticness,0.971
Shania TwainThat Don't Impress Me Much,Acousticness,0.153
Diana Ross & The SupremesRhythm Of Life,Acousticness,0.434
Julian LennonNow You're In Heaven,Acousticness,0.409
Kings of LeonOn Call,Acousticness,0.0285
Various ArtistsWand'rin' Star,Acousticness,0.906
BlackWonderful Life,Acousticness,0.705
Various ArtistsYour Song,Acousticness,0.83
Lou BegaMambo No. 5 (A Little Bit of...),Acousticness,0.0972
Various ArtistsI Like It,Acousticness,0.0981
Max BygravesAny Dream Will Do,Acousticness,0.642
The ShirellesWill You Love Me Tomorrow,Acousticness,0.686
AWOLNATIONSail,Acousticness,0.452
Ed SheeranBloodstream,Acousticness,0.529
Various ArtistsRump Shaker,Acousticness,0.00248
Cyndi LauperI Drove All Night,Acousticness,0.233
The Screaming JetsBetter - Remastered,Acousticness,0.000226
Stevie WrightGuitar Band,Acousticness,0.00786
Jason DeruloWhat If,Acousticness,0.14
SkyhooksMillion Dollar Riff - 2015 Version,Acousticness,0.127
MIKAWe Are Golden,Acousticness,0.00484
Kool & The GangGet Down On It,Acousticness,0.195
R. KellyShe's Got That Vibe,Acousticness,0.0504
Natalie BassingthwaighteLove Like This,Acousticness,0.00432
Selena GomezGood For You,Acousticness,0.174
Sabrina CarpenterThumbs,Acousticness,0.0284
Faith No MoreEasy,Acousticness,0.339
KungsDon't You Know - Radio Edit,Acousticness,0.0652
"Jolyon Petch, ReiganDreams",Acousticness,0.151
Kate AlexaAll I Hear,Acousticness,0.00754
Maroon 5Payphone - Edit,Acousticness,0.0171
New Vaudeville BandPeek a Boo,Acousticness,0.487
Ronan KeatingIf Tomorrow Never Comes,Acousticness,0.33
The ProclaimersI'm Gonna Be (500 Miles),Acousticness,0.151
Michael PaynterHow Sweet It Is,Acousticness,0.0213
Billie Eilishwhen the party's over,Acousticness,0.979
Lynsey De PaulSugar Me,Acousticness,0.14
DionRuby Baby,Acousticness,0.611
Fifth HarmonyDown (feat. Gucci Mane),Acousticness,0.0162
LPLost on You,Acousticness,0.1
OMIHula Hoop,Acousticness,0.0248
Kelly ClarksonBecause of You,Acousticness,0.254
The ChicksNot Ready to Make Nice,Acousticness,0.134
